StateName,,StateTotal,Eritrea,El_Salvador,India,Eritrean ,ElSalvadorian,Indian
AL,,4887871,55,2374,9276,0.001125234,0.048569203,0.189775876
AK,,7171646,1407,8621,40183,0.028785539,0.176375359,0.822096164
AZ,,3013825,0,13514,8282,0,0.276480292,0.169439824
AR,,39557045,6522,437016,486876,0.133432327,8.940825157,9.960901178
CA,,5695564,1273,9765,21981,0.026044059,0.199780232,0.449704994
CO,,3572665,106,6674,41480,0.002168633,0.136542065,0.848631234
CT,,967171,68,1273,11434,0.001391199,0.026044059,0.233925977
DE,,702455,555,12238,2984,0.011354637,0.250374856,0.061049074
DC,,21299325,756,45730,85926,0.015466857,0.935581156,1.757943285
FL,,10519475,2401,27032,89194,0.049121591,0.553042419,1.824802659
GA,,1754208,51,1040,1956,0.001043399,0.021277157,0.040017423
HI,,12741080,776,9996,160356,0.015876033,0.204506215,3.280692146
ID,,6691878,474,8005,28740,0.009697474,0.163772735,0.587986058
IL,,3156145,432,3569,9913,0.008838204,0.073017475,0.202808135
IN,,2911510,366,4091,14203,0.007487923,0.083696972,0.290576408
IA,,4468402,34,2138,11347,0.000695599,0.043740925,0.232146061
KS,,4659978,104,5861,6688,0.002127716,0.119909057,0.136828488
KY,,1338404,96,513,1318,0.001964045,0.010495367,0.026964705
LA,,6042718,2604,108128,61911,0.053274728,2.212169675,1.266625081
ME,,6902149,738,39776,69848,0.015098598,0.81376943,1.429006617
MD,,9995915,510,2903,71810,0.010433991,0.059391911,1.469146792
MA,,5611179,1703,7803,30163,0.034841345,0.159640056,0.617098937
MI,,2986530,0,657,4436,0,0.013441435,0.090755259
MN,,6126452,570,3759,19703,0.011661519,0.076904648,0.403099836
MS,,1062305,0,21,170,0,0.000429635,0.003477997
MO,,1929268,182,4725,6496,0.003723503,0.096667854,0.132900398
MT,,3034392,945,25438,9486,0.019333571,0.520431083,0.194072225
NE,,1356458,2,523,7905,4.09E-05,0.010699955,0.161726854
NV,,8908520,319,47782,248849,0.006526359,0.977562624,5.091153183
NH,,2095428,0,1980,3093,0,0.040508434,0.063279084
NJ,,19542209,1274,109733,160769,0.026064518,2.245006057,3.289141632
NM,,10383620,1313,30618,66430,0.026862411,0.626407694,1.359078421
NY,,760077,84,86,1363,0.00171854,0.001759457,0.027885351
NC,,11689442,1600,6231,60167,0.032734088,0.127478814,1.230944925
ND,,3943079,230,3604,9834,0.004705525,0.073733533,0.201191889
OH,,4190713,625,5430,17628,0.012786753,0.111091312,0.360647816
OK,,12807060,661,6849,87256,0.01352327,0.140122356,1.785153495
OR,,1057315,67,2524,5857,0.00137074,0.051638024,0.119827221
PA,,5084127,96,3352,13113,0.001964045,0.068577915,0.268276311
RI,,882235,618,915,1008,0.012643542,0.018719807,0.020622476
SC,,6770010,384,8986,21276,0.007856181,0.183842822,0.435281537
SD,,28701845,5018,206561,253898,0.102662284,4.225991234,5.19444969
TN,,3161105,0,7295,7501,0,0.149246983,0.153461497
TX,,626299,0,108,857,0,0.002209551,0.017533196
UT,,8517685,2332,107946,87110,0.047709933,2.208446172,1.78216651
VT,,7535591,3742,12240,75552,0.076556849,0.250415774,1.545703641
VA,,1805832,0,643,2743,0,0.013155012,0.056118502
WA,,5813568,340,1117,22672,0.006955994,0.022852485,0.463842029
WV,,577737,0,503,289,0,0.010290779,0.005912595
WI,,,,,,,,
WY,,,,,,,,
